#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
ddpdojblkb;DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07 Black Ver);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddpdojblkbl;DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07 Black Ver., bootleg Knights of Valour Super Heroes conversion);Arcade;ddp3;2012;bootleg;Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddpdojblk;DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07.Black Ver, newer);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddpdojblka;DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07.Black Ver, older);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddp2100j;DoDonPachi II (Japan, ver. 100);Arcade;ddp2;2001;IGS (Cave license);Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2101j;DoDonPachi II (Japan, ver. 101);Arcade;ddp2;2001;IGS (Cave license);Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2j;DoDonPachi II (Japan, ver. 102);Arcade;ddp2;2001;IGS (Cave license);Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2100k;DoDonPachi II - Bee Storm (Korea, ver. 100);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2101k;DoDonPachi II - Bee Storm (Korea, ver. 101);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2k;DoDonPachi II - Bee Storm (Korea, ver. 102);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2100;DoDonPachi II - Bee Storm (World, ver. 100);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2101;DoDonPachi II - Bee Storm (World, ver. 101);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2;DoDonPachi II - Bee Storm (World, ver. 102);Arcade;;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;pgm;;;;;;;
ddp2100hk;DoDonPachi II - Fung Bou (Hong Kong, ver. 100);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2101hk;DoDonPachi II - Fung Bou (Hong Kong, ver. 101);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2hk;DoDonPachi II - Fung Bou (Hong Kong, ver. 102);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp3;DoDonPachi III (World, 2002.05.15 Master Ver);Arcade;;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
sdojak;DoDonPachi SaiDaiOuJou & Knuckles (CaveDwellers Hack);Arcade;ddpsdoj;2021;hack;;;;;good;0;;ddpsdoj;;;;;;;
ddpsdoj;DoDonPachi SaiDaiOuJou (2012/ 4/20);Arcade;;2012;Cave;;;;;good;0;;;;;;;;;
dogfight;Dog Fight (Thunderbolt);Arcade;;1983;Orca / Thunderbolt;Shooter / Flying;2;;;good;0;;;;;;;;;
dogosoke;Dogou Souken;Arcade;victroad;1986;SNK;Shooter / Walking;2;;;good;0;;victroad;;;;;;;
dogosokb;Dogou Souken (Joystick hack bootleg);Arcade;victroad;1986;bootleg;Shooter / Walking;2;;;good;0;;victroad;;;;;;;
dogyuun;Dogyuun;Arcade;;1992;Toaplan;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
dogyuunt;Dogyuun (10/9/1992 location test);Arcade;dogyuun;1992;Toaplan;Shooter / Flying Vertical;2;;;good;0;;dogyuun;;;;;;;
dogyuuna;Dogyuun (older set);Arcade;dogyuun;1992;Toaplan;Shooter / Flying Vertical;2;;;good;0;;dogyuun;;;;;;;
dogyuunb;Dogyuun (oldest set);Arcade;dogyuun;1992;Toaplan;Shooter / Flying Vertical;2;;;good;0;;dogyuun;;;;;;;
dokaben;Dokaben (Japan);Arcade;;1989;Capcom;Sports / Cards;2;;;good;0;;;;;;;;;
dokaben2;Dokaben 2 (Japan);Arcade;;1989;Capcom;Sports / Cards;2;;;good;0;;;;;;;;;
dolmen;Dolmen;Arcade;;1995;Afega;Puzzle / Toss;2;;;good;0;;;;;;;;;
domino;Domino Man (set 1);Arcade;;1982;Bally Midway;Maze / Blocks;2;;;good;0;;midssio;;;;;;;
dominoa;Domino Man (set 2);Arcade;domino;1982;Bally Midway;Maze / Blocks;2;;;good;0;;domino;;;;;;;
dommy;Dommy;Arcade;;1983;Technos Japan;Maze / Move and Sort;2;;;good;0;;;;;;;;;
dondokodj;Don Doko Don (Japan, rev 1);Arcade;dondokod;1989;Taito Corporation;Platform / Run Jump;2;;;good;0;;dondokod;;;;;;;
dondokodu;Don Doko Don (US, rev 1);Arcade;dondokod;1989;Taito America Corporation;Platform / Run Jump;2;;;good;0;;dondokod;;;;;;;
dondokod;Don Doko Don (World, rev 1);Arcade;;1989;Taito Corporation Japan;Platform / Run Jump;2;;;good;0;;;;;;;;;
dkingjr;Donkey King Jr. (bootleg of Donkey Kong Jr.);Arcade;dkongjr;1982;bootleg;Platform / Run Jump;2;;;good;0;;dkongjr;;;;;;;
