#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Eko Eko Azarak - Wizard of Darkness (Japan);Eko Eko Azarak - Wizard of Darkness (Japan);Playstation;;1995;Polygram;Adventure;1;0;;;;;;;;;;ja;jp;
Elan (Japan);Elan (Japan);Playstation;;1999;Visco;Adventure;1;0;;;;;;;;;;ja;jp;
Elan Plus (Japan);Elan Plus (Japan);Playstation;;1999;Visco;Adventure;1;0;;;;;;;;;;ja;jp;
Elder Gate (Japan);Elder Gate (Japan);Playstation;;2000;Konami;Role Playing Game;1;0;;;;;;;;;;ja;jp;
Elf o Karu Monotachi - Hanafuda-hen (Japan);Elf o Karu Monotachi - Hanafuda-hen (Japan);Playstation;;1997;Altron;Asiatic board game;1;0;;;;;;;;;;ja;jp;
Elf o Karu Monotachi - Kanzenban (Japan) (Disc 1);Elf o Karu Monotachi - Kanzenban (Japan) (Disc 1);Playstation;;1997;Altron;Adventure;1;0;;;;;;;;;;ja;jp;
Elf o Karu Monotachi - Kanzenban (Japan) (Disc 2);Elf o Karu Monotachi - Kanzenban (Japan) (Disc 2);Playstation;;1997;Altron;Adventure;1;0;;;;;;;;;;ja;jp;
Elf o Karu Monotachi II (Japan) (Disc 1);Elf o Karu Monotachi II (Japan) (Disc 1);Playstation;;1998;Altron;Adventure;1;0;;;;;;;;;;;;
Elf o Karu Monotachi II (Japan) (Disc 2);Elf o Karu Monotachi II (Japan) (Disc 2);Playstation;;1998;Altron;Adventure;1;0;;;;;;;;;;;;
Elf o Karu Monotachi II (Japan) (Disc 3);Elf o Karu Monotachi II (Japan) (Disc 3);Playstation;;1998;Altron;Adventure;1;0;;;;;;;;;;;;
Elfin Paradise (Japan);Elfin Paradise (Japan);Playstation;;1997;Fill in Café;Adventure;1;0;;;;;;;;;;ja;jp;
Emit Value Pack (Japan) (Disc 1) (Vol. 1 - Toki no Maigo);Emit Value Pack (Japan) (Disc 1) (Vol. 1 - Toki no Maigo);Playstation;;1995;Koei;Adventure;1;0;;;;;;;;;;ja,en;jp;
Emit Value Pack (Japan) (Disc 2) (Vol. 2 - Inochigake no Tabi);Emit Value Pack (Japan) (Disc 2) (Vol. 2 - Inochigake no Tabi);Playstation;;1995;Koei;Adventure;1;0;;;;;;;;;;ja,en;jp;
Emit Value Pack (Japan) (Disc 3) (Vol. 3 - Watashi ni Sayonara wo);Emit Value Pack (Japan) (Disc 3) (Vol. 3 - Watashi ni Sayonara wo);Playstation;;1995;Koei;Adventure;1;0;;;;;;;;;;ja,en;jp;
Emmyrea (Japan);Emmyrea (Japan);Playstation;;2001;Kindle Imagine Develop;Role Playing Game;1;0;;;;;;;;;;;jp;
End Sector (Japan);End Sector (Japan);Playstation;;2000;ASCII;Playing cards;1-2;0;;;;;;;;;;;jp;
Enen Angel (Japan);Enen Angel (Japan);Playstation;;2002;Media Factory;Action;1;0;;;;;;;;;;ja;jp;
Engacho! (Japan);Engacho! (Japan);Playstation;;1999;Nihon Application;Action;1-2;0;;;;;;;;;;ja;jp;
Enigma (Japan) (Disc 1);Enigma (Japan) (Disc 1);Playstation;;1998;Koei;Thinking;1;0;;;;;;;;;;ja;jp;
Enigma (Japan) (Disc 2);Enigma (Japan) (Disc 2);Playstation;;1998;Koei;Thinking;1;0;;;;;;;;;;ja;jp;
Enomoto Kanako no Boke Shindan Game (Japan);Enomoto Kanako no Boke Shindan Game (Japan);Playstation;;1999;Exit;Casual Game;1-2;0;;;;;;;;;;ja;jp;
Entertainment Jansou - That's Pon! (Japan);Entertainment Jansou - That's Pon! (Japan);Playstation;;1995;Shoeisha;Mahjong;1;0;;;;;;;;;;ja;jp;
Epica Stella (Japan);Epica Stella (Japan);Playstation;;2000;Working Designs;Role Playing Game;1;0;;;;;;;;;;;jp;
Eternal Melody (Japan);Eternal Melody (Japan);Playstation;;1996;Starlight Marry;Adventure;1;0;;;;;;;;;;ja;jp;
Eurasia Express Satsujin Jiken (Japan) (Disc 1);Eurasia Express Satsujin Jiken (Japan) (Disc 1);Playstation;;2000;System Sacom;Adventure;1;0;;;;;;;;;;ja;jp;
Eurasia Express Satsujin Jiken (Japan) (Disc 2);Eurasia Express Satsujin Jiken (Japan) (Disc 2);Playstation;;2000;System Sacom;Adventure;1;0;;;;;;;;;;ja;jp;
Eurasia Express Satsujin Jiken (Japan) (Disc 3);Eurasia Express Satsujin Jiken (Japan) (Disc 3);Playstation;;2000;System Sacom;Adventure;1;0;;;;;;;;;;ja;jp;
Eurasia Express Satsujin Jiken (Japan) (Disc 4);Eurasia Express Satsujin Jiken (Japan) (Disc 4);Playstation;;2000;System Sacom;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Fatal Attraction (Japan) (Disc 1) (Premium Box);Eve - The Fatal Attraction (Japan) (Disc 1) (Premium Box);Playstation;;2003;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Fatal Attraction (Japan) (Disc 1);Eve - The Fatal Attraction (Japan) (Disc 1);Playstation;;2003;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Fatal Attraction (Japan) (Disc 2) (Premium Box);Eve - The Fatal Attraction (Japan) (Disc 2) (Premium Box);Playstation;;2003;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Fatal Attraction (Japan) (Disc 2);Eve - The Fatal Attraction (Japan) (Disc 2);Playstation;;2003;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Fatal Attraction (Japan) (Disc 3) (Premium Box);Eve - The Fatal Attraction (Japan) (Disc 3) (Premium Box);Playstation;;2003;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Fatal Attraction (Japan) (Disc 3);Eve - The Fatal Attraction (Japan) (Disc 3);Playstation;;2003;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 1) (Kyoko Disc) (GameVillage The Best);Eve - The Lost One (Japan) (Disc 1) (Kyoko Disc) (GameVillage The Best);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 1) (Kyoko Disc);Eve - The Lost One (Japan) (Disc 1) (Kyoko Disc);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 2) (Snake Disc) (GameVillage The Best);Eve - The Lost One (Japan) (Disc 2) (Snake Disc) (GameVillage The Best);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 2) (Snake Disc);Eve - The Lost One (Japan) (Disc 2) (Snake Disc);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 3) (Lost One Disc) (GameVillage The Best);Eve - The Lost One (Japan) (Disc 3) (Lost One Disc) (GameVillage The Best);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 3) (Lost One Disc);Eve - The Lost One (Japan) (Disc 3) (Lost One Disc);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
Eve - The Lost One (Japan) (Disc 4) (Premium Disc);Eve - The Lost One (Japan) (Disc 4) (Premium Disc);Playstation;;1998;C's Ware;Adventure;1;0;;;;;;;;;;ja;jp;
